method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
topk,topk_k=12_seed=0,0,k,12,last,1,1058929,1786569841668680864,Sparse but Wrong Eq. (4),0.0761597547036963
topk,topk_k=13_seed=0,0,k,13,last,1,1058929,1786569838448633923,Sparse but Wrong Eq. (4),0.0769503471682154
topk,topk_k=14_seed=0,0,k,14,last,1,1058929,1786569807244178552,Sparse but Wrong Eq. (4),0.07817962214380256
topk,topk_k=15_seed=0,0,k,15,last,1,1058929,1786569811304237851,Sparse but Wrong Eq. (4),0.07706151211541731
topk,topk_k=16_seed=0,0,k,16,last,1,1058929,1786569858124920626,Sparse but Wrong Eq. (4),0.0771742272041491
topk,topk_k=17_seed=0,0,k,17,last,1,1058929,1786569845392735144,Sparse but Wrong Eq. (4),0.07708894991320879
topk,topk_k=18_seed=0,0,k,18,last,1,1058929,1786569868997078908,Sparse but Wrong Eq. (4),0.07850085708910647
topk,topk_k=19_seed=0,0,k,19,last,1,1058929,1786569849608796578,Sparse but Wrong Eq. (4),0.07799481944251756
topk,topk_k=1_seed=0,0,k,1,last,1,1058929,1786569833784565913,Sparse but Wrong Eq. (4),0.07430596298548359
topk,topk_k=20_seed=0,0,k,20,last,1,1058929,1786569871025108422,Sparse but Wrong Eq. (4),0.07963842611616927
topk,topk_k=21_seed=0,0,k,21,last,1,1058929,1786569861840974736,Sparse but Wrong Eq. (4),0.078647145529003
topk,topk_k=22_seed=0,0,k,22,last,1,1058929,1786569875405172154,Sparse but Wrong Eq. (4),0.07804819852237135
topk,topk_k=23_seed=0,0,k,23,last,1,1058929,1786569847044759217,Sparse but Wrong Eq. (4),0.07816206879420506
topk,topk_k=24_seed=0,0,k,24,last,1,1058929,1786569849876800483,Sparse but Wrong Eq. (4),0.07820164605861914
topk,topk_k=25_seed=0,0,k,25,last,1,1058929,1786569874597160398,Sparse but Wrong Eq. (4),0.08043690983869697
topk,topk_k=26_seed=0,0,k,26,last,1,1058929,1786569875517173783,Sparse but Wrong Eq. (4),0.07958384602072657
topk,topk_k=27_seed=0,0,k,27,last,1,1058929,1786569853128847860,Sparse but Wrong Eq. (4),0.08052343497697313
topk,topk_k=28_seed=0,0,k,28,last,1,1058929,1786569861256966233,Sparse but Wrong Eq. (4),0.08096526533964728
topk,topk_k=29_seed=0,0,k,29,last,1,1058929,1786569855596883808,Sparse but Wrong Eq. (4),0.08089422446665447
topk,topk_k=2_seed=0,0,k,2,last,1,1058929,1786569841780682498,Sparse but Wrong Eq. (4),0.07439604255300594
topk,topk_k=30_seed=0,0,k,30,last,1,1058929,1786569856536897499,Sparse but Wrong Eq. (4),0.08072792262298158
topk,topk_k=31_seed=0,0,k,31,last,1,1058929,1786569860492955108,Sparse but Wrong Eq. (4),0.08188293545982989
topk,topk_k=32_seed=0,0,k,32,last,1,1058929,1786569857592912879,Sparse but Wrong Eq. (4),0.08265049486101213
topk,topk_k=33_seed=0,0,k,33,last,1,1058929,1786569857604913054,Sparse but Wrong Eq. (4),0.08243017293177919
topk,topk_k=34_seed=0,0,k,34,last,1,1058929,1786569862176979629,Sparse but Wrong Eq. (4),0.08032951228490091
topk,topk_k=35_seed=0,0,k,35,last,1,1058929,1786569862000977067,Sparse but Wrong Eq. (4),0.08394670485195915
topk,topk_k=36_seed=0,0,k,36,last,1,1058929,1786569863601000362,Sparse but Wrong Eq. (4),0.0855098466589076
topk,topk_k=37_seed=0,0,k,37,last,1,1058929,1786569861964976542,Sparse but Wrong Eq. (4),0.08287759805884459
topk,topk_k=38_seed=0,0,k,38,last,1,1058929,1786569880453245588,Sparse but Wrong Eq. (4),0.08467677092465561
topk,topk_k=39_seed=0,0,k,39,last,1,1058929,1786569863568999896,Sparse but Wrong Eq. (4),0.08667871715071694
topk,topk_k=3_seed=0,0,k,3,last,1,1058929,1786569836992612695,Sparse but Wrong Eq. (4),0.07616274393946906
topk,topk_k=40_seed=0,0,k,40,last,1,1058929,1786569868825076405,Sparse but Wrong Eq. (4),0.08314758897755224
topk,topk_k=41_seed=0,0,k,41,last,1,1058929,1786569872913135895,Sparse but Wrong Eq. (4),0.08571435905806019
topk,topk_k=42_seed=0,0,k,42,last,1,1058929,1786569873561145324,Sparse but Wrong Eq. (4),0.08743131243205048
topk,topk_k=43_seed=0,0,k,43,last,1,1058929,1786569882885280959,Sparse but Wrong Eq. (4),0.08733795527706772
topk,topk_k=44_seed=0,0,k,44,last,1,1058929,1786569885077312834,Sparse but Wrong Eq. (4),0.0851869291388207
topk,topk_k=45_seed=0,0,k,45,last,1,1058929,1786569879709234766,Sparse but Wrong Eq. (4),0.09105006437305752
topk,topk_k=46_seed=0,0,k,46,last,1,1058929,1786569889961383844,Sparse but Wrong Eq. (4),0.08308339937296083
topk,topk_k=47_seed=0,0,k,47,last,1,1058929,1786569878937223537,Sparse but Wrong Eq. (4),0.08839075459874617
topk,topk_k=48_seed=0,0,k,48,last,1,1058929,1786569899129517090,Sparse but Wrong Eq. (4),0.08807796728270409
topk,topk_k=49_seed=0,0,k,49,last,1,1058929,1786569895925470531,Sparse but Wrong Eq. (4),0.08551997160146402
topk,topk_k=4_seed=0,0,k,4,last,1,1058929,1786569810016219041,Sparse but Wrong Eq. (4),0.07515637600210999
topk,topk_k=50_seed=0,0,k,50,last,1,1058929,1786569891545406870,Sparse but Wrong Eq. (4),0.08614552671871199
topk,topk_k=51_seed=0,0,k,51,last,1,1058929,1786569891657408498,Sparse but Wrong Eq. (4),0.08825757368036455
topk,topk_k=52_seed=0,0,k,52,last,1,1058929,1786569893049428732,Sparse but Wrong Eq. (4),0.09317518382042045
